?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/WBbt_0006693>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008099>	"post-embryonic cell of pedigree P10.aap in male."	
<http://purl.obolibrary.org/obo/WBbt_0001781>	"nucleus of pedigree C"	
<http://purl.obolibrary.org/obo/WBbt_0004358>	"Intestinal cell"	
<http://purl.obolibrary.org/obo/WBbt_0008189>	"seminal vesicle cell of male gonad."	
<http://purl.obolibrary.org/obo/WBbt_0006560>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003458>	"nucleus of pedigree Z1.ppppppa(5L)"	
<http://purl.obolibrary.org/obo/WBbt_0002038>	"nucleus of pedigree MSapaaaav"	
<http://purl.obolibrary.org/obo/WBbt_0005505>		
<http://purl.obolibrary.org/obo/WBbt_0001352>	"nucleus of pedigree ABplapaa"	
<http://purl.obolibrary.org/obo/WBbt_0008131>		
<http://purl.obolibrary.org/obo/WBbt_0005680>	"nucleus of pedigree Z1.ppaaa[p/r](5R)"	
<http://purl.obolibrary.org/obo/WBbt_0007506>	"post-embryonic cell of pedigree V6L.pppapap"	
<http://purl.obolibrary.org/obo/WBbt_0004259>	"Anterior daughter cell of V4L.ppp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0004902>	"Seam hypodermal cell, postembryonic blast cell"	
<http://purl.obolibrary.org/obo/WBbt_0002657>	"nucleus of pedigree V5L.pppppapp"	
<http://purl.obolibrary.org/obo/WBbt_0001799>	"nucleus of pedigree Capaaa"	
<http://purl.obolibrary.org/obo/WBbt_0003832>	"Neuron class of one sensory neuron, anterior ventral microtubule cell, touch receptor."	
<http://purl.obolibrary.org/obo/WBbt_0004355>	"Intestinal cell"	
<http://purl.obolibrary.org/obo/WBbt_0003628>	"pharyngeal muscle syncytium cell, layer four, left subventral."	
<http://purl.obolibrary.org/obo/WBbt_0006690>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005688>	"nucleus of pedigree Z1.ppaapp[a/v](5R)"	
<http://purl.obolibrary.org/obo/WBbt_0005504>		
<http://purl.obolibrary.org/obo/WBbt_0003558>	"nucleus of pedigree Z4.apappp"	
<http://purl.obolibrary.org/obo/WBbt_0008132>		
<http://purl.obolibrary.org/obo/WBbt_0004108>	"Post-embryonic cell of pedigree TL.pap, phasmid sockets."	
<http://purl.obolibrary.org/obo/WBbt_0002527>	"nucleus of pedigree P6.pppl"	
<http://purl.obolibrary.org/obo/WBbt_0005637>		
<http://purl.obolibrary.org/obo/WBbt_0007711>	"post-embryonic cell of pedigree Z4.aap[a/l]av"	
<http://purl.obolibrary.org/obo/WBbt_0008414>	"postcloacal sheath cell."	
<http://purl.obolibrary.org/obo/WBbt_0004356>	"Intestinal cell"	
<http://purl.obolibrary.org/obo/WBbt_0006691>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003345>	"nucleus of pedigree Z1.paappapa"	
<http://purl.obolibrary.org/obo/WBbt_0003250>	"nucleus of pedigree MSaappap"	
<http://purl.obolibrary.org/obo/WBbt_0005764>		
<http://purl.obolibrary.org/obo/WBbt_0005631>		
<http://purl.obolibrary.org/obo/WBbt_0003245>	"nucleus of pedigree MSpaapapp"	
<http://purl.obolibrary.org/obo/WBbt_0006696>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006563>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006430>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005692>	"nucleus of pedigree Z1.ppapad(5R)"	
<http://purl.obolibrary.org/obo/WBbt_0001894>	"nucleus of pedigree ABprpaaapap"	
<http://purl.obolibrary.org/obo/WBbt_0004900>	"Seam hypodermal cell, postembryonic blast cell"	
<http://purl.obolibrary.org/obo/WBbt_0001597>	"nucleus of pedigree ABprppapaaa"	
<http://purl.obolibrary.org/obo/WBbt_0006792>	"uterine-vulval cell, medial position of three ut cells."	
<http://purl.obolibrary.org/obo/WBbt_0001205>	"nucleus of pedigree ABaraapap"	
<http://purl.obolibrary.org/obo/WBbt_0007432>	"post-embryonic cell of pedigree V4L.p"	
<http://purl.obolibrary.org/obo/WBbt_0004353>	"Intestinal cell"	
<http://purl.obolibrary.org/obo/WBbt_0001812>	"nucleus of pedigree Capp"	
<http://purl.obolibrary.org/obo/WBbt_0004591>	"Ventral cord motor neuron, innervates ventral body muscles, probably reciprocal inhibitor"	
<http://purl.obolibrary.org/obo/WBbt_0007337>	"post-embryonic cell of pedigree SM3L.aa"	
<http://purl.obolibrary.org/obo/WBbt_0005459>	"cell that makes up epithelium in pharynx."	
<http://purl.obolibrary.org/obo/WBbt_0008299>	"post-embryonic cell of pedigree Z1.ppa in hermaphrodite that will follow the 5R configuration of development."	
<http://purl.obolibrary.org/obo/WBbt_0003163>	"nucleus of pedigree V6R.pa"	
<http://purl.obolibrary.org/obo/WBbt_0005630>		
<http://purl.obolibrary.org/obo/WBbt_0007778>	"post-embryonic cell of pedigree Z4.appa"	
<http://purl.obolibrary.org/obo/WBbt_0006431>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006697>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006896>	"descendent cell of P8, posterior"	
<http://purl.obolibrary.org/obo/WBbt_0003136>	"nucleus of pedigree V6L.pp"	
<http://purl.obolibrary.org/obo/WBbt_0006564>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0004730>	"Postembryonic seam hypodermal cells, make alae; of pedigree V6L.ppppp."	
<http://purl.obolibrary.org/obo/WBbt_0007294>	"Diagonal tail muscle cell of pedigree SM1L.pap."	
<http://purl.obolibrary.org/obo/WBbt_0003367>		
<http://purl.obolibrary.org/obo/WBbt_0006076>	"Embryonic cell of lineage Caaaaa fuses into embryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0002697>	"nucleus of pedigree ABplpappppp"	
<http://purl.obolibrary.org/obo/WBbt_0006694>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006375>	"Embryonic cell of lineage ABarpaapap fuses into embryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0005500>		
<http://purl.obolibrary.org/obo/WBbt_0003634>	"Neuron class of two pharyngeal motor neurons."	
<http://purl.obolibrary.org/obo/WBbt_0006561>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002719>	"nucleus of pedigree ABplpaapaaa"	
<http://purl.obolibrary.org/obo/WBbt_0004780>	"Postembryonic blast cell, excretory socket in embryo"	
<http://purl.obolibrary.org/obo/WBbt_0001285>	"nucleus of pedigree ABarpapaapa"	
<http://purl.obolibrary.org/obo/WBbt_0006660>	"Embryonic cell of pedigree Cpppapp."	
<http://purl.obolibrary.org/obo/WBbt_0002016>	"nucleus of pedigree F.lvv"	
<http://purl.obolibrary.org/obo/WBbt_0003368>		
<http://purl.obolibrary.org/obo/WBbt_0005632>		
<http://purl.obolibrary.org/obo/WBbt_0006562>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0004302>	"eighth pharyngeal muscle cell layer (single cell)"	
<http://purl.obolibrary.org/obo/WBbt_0006695>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001642>	"nucleus of pedigree ABalaapaaar"	
<http://purl.obolibrary.org/obo/WBbt_0006751>	"neuron with its cell body situated in the head, excluding the pharynx."	
<http://purl.obolibrary.org/obo/WBbt_0008137>		
<http://purl.obolibrary.org/obo/WBbt_0001034>	"nucleus of pedigree ABalaapap"	
<http://purl.obolibrary.org/obo/WBbt_0008004>		
<http://purl.obolibrary.org/obo/WBbt_0002165>	"nucleus of pedigree Eplppa"	
<http://purl.obolibrary.org/obo/WBbt_0005093>	"Ventral uterus; cell of pedigree Z1.ppaapap (5L), a precursor of posterior ut3."	
<http://purl.obolibrary.org/obo/WBbt_0002284>	"nucleus of pedigree MSaaaappp"	
<http://purl.obolibrary.org/obo/WBbt_0002611>	"nucleus of pedigree TR.pppaa"	
<http://purl.obolibrary.org/obo/WBbt_0003855>		
<http://purl.obolibrary.org/obo/WBbt_0003722>		
<http://purl.obolibrary.org/obo/WBbt_0006567>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006434>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005939>	"Embryonic cell of lineage ABarpaappa fuses into embryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0005283>		
<http://purl.obolibrary.org/obo/WBbt_0005150>		
<http://purl.obolibrary.org/obo/WBbt_0002321>	"nucleus of pedigree MSaapaa"	
<http://purl.obolibrary.org/obo/WBbt_0001325>	"nucleus of pedigree ABplaaaap"	
<http://purl.obolibrary.org/obo/WBbt_0008005>		
<http://purl.obolibrary.org/obo/WBbt_0001274>	"nucleus of pedigree ABarpaapaa"	
<http://purl.obolibrary.org/obo/WBbt_0008217>	"A single syncytium cell of four nuclei makes a valve, connecting spermatheca and uterus of hermaphrodite gonad."	
<http://purl.obolibrary.org/obo/WBbt_0005671>	"Neuron class of two ciliated neurons with flattened, sheet-like endings that are associated with the sheath cells of the amphid sensilla"	
<http://purl.obolibrary.org/obo/WBbt_0002537>	"nucleus of pedigree P7.pap"	
<http://purl.obolibrary.org/obo/WBbt_0003225>	"nucleus of pedigree P7.aaap"	
<http://purl.obolibrary.org/obo/WBbt_0001606>	"nucleus of pedigree ABprpppaap"	
<http://purl.obolibrary.org/obo/WBbt_0003723>		
<http://purl.obolibrary.org/obo/WBbt_0003856>		
<http://purl.obolibrary.org/obo/WBbt_0006302>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0001075>	"nucleus of pedigree ABalappaaa"	
<http://purl.obolibrary.org/obo/WBbt_0004778>	"Seam hypodermal cell"	
<http://purl.obolibrary.org/obo/WBbt_0006568>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003217>	"nucleus of pedigree P12.aaaa"	
<http://purl.obolibrary.org/obo/WBbt_0003574>	"nucleus of pedigree Z4.appaappa"	
<http://purl.obolibrary.org/obo/WBbt_0004687>	"Cylindrical hypodermal syncytium in head"	
<http://purl.obolibrary.org/obo/WBbt_0006306>	"Embryonic cell of pedigree MSapaaap."	
<http://purl.obolibrary.org/obo/WBbt_0005282>		
<http://purl.obolibrary.org/obo/WBbt_0004452>	"Left daughter cell of P6.ppa, fuses into hermaphrodite vulF syncytium."	
<http://purl.obolibrary.org/obo/WBbt_0006859>	"Neuron class of two male-specific post cloacal sensilla neuron type B."	
<http://purl.obolibrary.org/obo/WBbt_0008006>		
<http://purl.obolibrary.org/obo/WBbt_0002326>	"nucleus of pedigree MSaapap"	
<http://purl.obolibrary.org/obo/WBbt_0001399>	"nucleus of pedigree ABplpaap"	
<http://purl.obolibrary.org/obo/WBbt_0003852>		
<http://purl.obolibrary.org/obo/WBbt_0003090>	"nucleus of pedigree ABprapapaap"	
<http://purl.obolibrary.org/obo/WBbt_0004593>	"Ventral cord motor neuron, innervates ventral body muscles, probably reciprocal inhibitor"	
<http://purl.obolibrary.org/obo/WBbt_0003853>		
<http://purl.obolibrary.org/obo/WBbt_0006432>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0004561>	"Embryonic coelomocytes"	
<http://purl.obolibrary.org/obo/WBbt_0006698>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0007176>	"Post-embryonic cell of pedigree M.drpp."	
<http://purl.obolibrary.org/obo/WBbt_0004777>	"Seam hypodermal cell"	
<http://purl.obolibrary.org/obo/WBbt_0008110>	"nucleus of pedigree P11.aap in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0003795>	"Gubernaculum erector"	
<http://purl.obolibrary.org/obo/WBbt_0005285>		
<http://purl.obolibrary.org/obo/WBbt_0001840>	"nucleus of pedigree Cpapp"	
<http://purl.obolibrary.org/obo/WBbt_0002528>	"nucleus of pedigree P6.pppr"	
<http://purl.obolibrary.org/obo/WBbt_0005152>		
<http://purl.obolibrary.org/obo/WBbt_0007059>	"post-embryonic cell of pedigree B.ar"	
<http://purl.obolibrary.org/obo/WBbt_0007569>	"post-embryonic cell of pedigree W.aa"	
<http://purl.obolibrary.org/obo/WBbt_0002455>	"nucleus of pedigree ABalppaaapp"	
<http://purl.obolibrary.org/obo/WBbt_0002955>	"nucleus of pedigree V1R.pappa"	
<http://purl.obolibrary.org/obo/WBbt_0008007>		
<http://purl.obolibrary.org/obo/WBbt_0003720>		
<http://purl.obolibrary.org/obo/WBbt_0002395>	"nucleus of pedigree MSpapp"	
<http://purl.obolibrary.org/obo/WBbt_0006922>	"cephalic sensillum in dorsal right quadrant of worm head."	
<http://purl.obolibrary.org/obo/WBbt_0006300>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0007200>	"post-embryonic cell of pedigree M.vrpaaap"	
<http://purl.obolibrary.org/obo/WBbt_0003854>		
<http://purl.obolibrary.org/obo/WBbt_0007555>	"post-embryonic cell of pedigree V6R.ppppaaa"	
<http://purl.obolibrary.org/obo/WBbt_0006566>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006699>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006769>	"nerve cord positioned at the lateral flanks of the animal, consists of processes of the neuron classes BDU, CAN, PVD and ALA."	
<http://purl.obolibrary.org/obo/WBbt_0005151>		
<http://purl.obolibrary.org/obo/WBbt_0003796>	"Gubernaculum erector"	
<http://purl.obolibrary.org/obo/WBbt_0005284>		
<http://purl.obolibrary.org/obo/WBbt_0001028>	"nucleus of pedigree ABalaapa"	
<http://purl.obolibrary.org/obo/WBbt_0002750>	"nucleus of pedigree ABplppaaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0006873>	"embryonic founder cell"	
<http://purl.obolibrary.org/obo/WBbt_0004608>	"Anterior daughter cell of V1R.papp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0008000>		
<http://purl.obolibrary.org/obo/WBbt_0006439>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008133>		
<http://purl.obolibrary.org/obo/WBbt_0002966>	"nucleus of pedigree V2L.p"	
<http://purl.obolibrary.org/obo/WBbt_0007671>	"post-embryonic cell of pedigree Z1.pppaav"	
<http://purl.obolibrary.org/obo/WBbt_0005507>		
<http://purl.obolibrary.org/obo/WBbt_0002925>	"nucleus of pedigree ABarpapaappp"	
<http://purl.obolibrary.org/obo/WBbt_0004599>	"Ventral cord motor neuron, innervates ventral body muscles, probably reciprocal inhibitor"	
<http://purl.obolibrary.org/obo/WBbt_0006305>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002597>	"nucleus of pedigree P12.apa"	
<http://purl.obolibrary.org/obo/WBbt_0007340>	"post-embryonic cell of pedigree SM3L.ap"	
<http://purl.obolibrary.org/obo/WBbt_0008001>		
<http://purl.obolibrary.org/obo/WBbt_0008134>		
<http://purl.obolibrary.org/obo/WBbt_0006765>	"adult vulval toroid cell, C, formed by fusion of precursors of lineage names P5.ppal, P5.ppar, P7.papl and P7.papr."	
<http://purl.obolibrary.org/obo/WBbt_0006307>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005506>		
<http://purl.obolibrary.org/obo/WBbt_0001865>	"nucleus of pedigree Cpppapp"	
<http://purl.obolibrary.org/obo/WBbt_0004147>	"Anterior daughter cell of P8.p, fuses into postembryonic large hypodermal syncytium in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0005639>		
<http://purl.obolibrary.org/obo/WBbt_0004560>	"Embryonic coelomocytes"	
<http://purl.obolibrary.org/obo/WBbt_0002158>	"nucleus of pedigree E.prapp"	
<http://purl.obolibrary.org/obo/WBbt_0004254>	"Anterior daughter cell of V4R.papp, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0003216>	"nucleus of pedigree P11.aaaa"	
<http://purl.obolibrary.org/obo/WBbt_0007815>	"somatic (not germline) cell of the hermaphrodite gonad."	
<http://purl.obolibrary.org/obo/WBbt_0005980>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0002748>	"nucleus of pedigree ABplpapappa"	
<http://purl.obolibrary.org/obo/WBbt_0006912>	"seam cell in male tail; does not fuse with main seam, does not make alae."	
<http://purl.obolibrary.org/obo/WBbt_0006875>	"embryonic founder cell"	
<http://purl.obolibrary.org/obo/WBbt_0003248>	"nucleus of pedigree MSaappaa"	
<http://purl.obolibrary.org/obo/WBbt_0007731>	"post-embryonic cell of pedigree Z4.aap[p/r]p[p/r]"	
<http://purl.obolibrary.org/obo/WBbt_0008135>		
<http://purl.obolibrary.org/obo/WBbt_0008002>		
<http://purl.obolibrary.org/obo/WBbt_0004654>	"Anterior daughter cell of H1L.app, fuses into postembryonic large hypodermal syncytium hyp7."	
<http://purl.obolibrary.org/obo/WBbt_0002971>	"nucleus of pedigree V2L.papp"	
<http://purl.obolibrary.org/obo/WBbt_0005509>		
<http://purl.obolibrary.org/obo/WBbt_0003981>		
<http://purl.obolibrary.org/obo/WBbt_0004597>	"Ventral cord motor neuron, innervates ventral body muscles, probably reciprocal inhibitor"	
<http://purl.obolibrary.org/obo/WBbt_0006303>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006569>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006436>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005086>	"Ventral uterus; cell of pedigree Z4.aaaaaaa (5R), a precursor of anterior ut4."	
<http://purl.obolibrary.org/obo/WBbt_0005281>		
<http://purl.obolibrary.org/obo/WBbt_0007629>	"Post-embryonic cell of pedigree Z1.ppaa."	
<http://purl.obolibrary.org/obo/WBbt_0008253>	"cell of vas deferens that followed the 1L lineage configuration (Z1.paa becomes the linker cell) of development."	
<http://purl.obolibrary.org/obo/WBbt_0002012>	"nucleus of pedigree F.lv"	
<http://purl.obolibrary.org/obo/WBbt_0006874>	"embryonic founder cell"	
<http://purl.obolibrary.org/obo/WBbt_0008614>	"Right cell of MCM neuron class."	
<http://purl.obolibrary.org/obo/WBbt_0002283>	"nucleus of pedigree MSpapappa"	
<http://purl.obolibrary.org/obo/WBbt_0001578>	"nucleus of pedigree ABprpappap"	
<http://purl.obolibrary.org/obo/WBbt_0008003>		
<http://purl.obolibrary.org/obo/WBbt_0006438>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005508>		
<http://purl.obolibrary.org/obo/WBbt_0003982>		
<http://purl.obolibrary.org/obo/WBbt_0004598>	"Ventral cord motor neuron, innervates ventral body muscles, probably reciprocal inhibitor"	
<http://purl.obolibrary.org/obo/WBbt_0006437>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0006304>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0005280>		
<http://purl.obolibrary.org/obo/WBbt_0001504>	"nucleus of pedigree ABpraappap"	
<http://purl.obolibrary.org/obo/WBbt_0001987>	"nucleus of pedigree Epla"	
<http://purl.obolibrary.org/obo/WBbt_0008596>	"Head lateral ectoblast which gives rise to hypodermal cells in the head."	
<http://purl.obolibrary.org/obo/WBbt_0008259>	"ventral right quadrant muscle of body wall."	
<http://purl.obolibrary.org/obo/WBbt_0005100>	"neuron type, cell body located in right lateral ganglion."	
<http://purl.obolibrary.org/obo/WBbt_0008311>	"uterine rho cell that follows the 5R configuration of development."	
<http://purl.obolibrary.org/obo/WBbt_0007225>	"post-embryonic cell of pedigree P11.aa"	
<http://purl.obolibrary.org/obo/WBbt_0005034>	"Inner seminal vesicle cell of pedigree Z4.apap."	
<http://purl.obolibrary.org/obo/WBbt_0008245>	"Rectal epithelial cell in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0003890>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0006977>	"ganglion in the tail region (posterior to rectum)."	
<http://purl.obolibrary.org/obo/WBbt_0004690>	"Cylindrical hypodermal syncytium in head"	
<http://purl.obolibrary.org/obo/WBbt_0001921>	"nucleus of pedigree Dapap"	
<http://purl.obolibrary.org/obo/WBbt_0005158>		
<http://purl.obolibrary.org/obo/WBbt_0007399>	"post-embryonic cell of pedigree V1R.pap"	
<http://purl.obolibrary.org/obo/WBbt_0005971>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0003342>	"nucleus of pedigree Z1.paappaapa"	
<http://purl.obolibrary.org/obo/WBbt_0001520>	"nucleus of pedigree ABprapapa"	
<http://purl.obolibrary.org/obo/WBbt_0002655>	"nucleus of pedigree V5L.pppppapa"	
<http://purl.obolibrary.org/obo/WBbt_0003417>	"nucleus of pedigree Z1.ppaaapp(5L)"	
<http://purl.obolibrary.org/obo/WBbt_0002831>	"nucleus of pedigree ABalpapappp"	
<http://purl.obolibrary.org/obo/WBbt_0004357>	"Intestinal cell of the fifth intestinal ring, left side."	
<http://purl.obolibrary.org/obo/WBbt_0005157>		
<http://purl.obolibrary.org/obo/WBbt_0001741>	"nucleus of pedigree B.arapapa"	
<http://purl.obolibrary.org/obo/WBbt_0003891>	"one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil"	
<http://purl.obolibrary.org/obo/WBbt_0003130>	"nucleus of pedigree V6L.pappp"	
<http://purl.obolibrary.org/obo/WBbt_0008179>	"posterior ut3 cell whose nuclei followed the 5R lineage configuration during development."	
<http://purl.obolibrary.org/obo/WBbt_0004834>	"Cell of male proctodeum, post-embryonic pedigree B.alapapa."	
<http://purl.obolibrary.org/obo/WBbt_0005972>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008363>	"cell of pedigree Z1.paa in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0006071>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008243>	"Rectal epithelial cell in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0003188>	"nucleus of pedigree V6R.pppapa"	
<http://purl.obolibrary.org/obo/WBbt_0003169>	"nucleus of pedigree V6R.papapa"	
<http://purl.obolibrary.org/obo/WBbt_0001542>	"nucleus of pedigree ABprapppapp"	
<http://purl.obolibrary.org/obo/WBbt_0004558>	"Embryonic coelomocytes"	
<http://purl.obolibrary.org/obo/WBbt_0002036>	"nucleus of pedigree MSapaaaad"	
<http://purl.obolibrary.org/obo/WBbt_0007654>	"Post-embryonic cell of pedigree Z1.ppap."	
<http://purl.obolibrary.org/obo/WBbt_0003728>		
<http://purl.obolibrary.org/obo/WBbt_0004589>	"Ventral cord motor neuron, innervates ventral body muscles, probably reciprocal inhibitor"	
<http://purl.obolibrary.org/obo/WBbt_0004692>	"Cylindrical hypodermal syncytium in head"	
<http://purl.obolibrary.org/obo/WBbt_0005665>	"Neuron class of two ciliated neurons that are part of the amphid sensilla; the endings are in the amphid channel, which is open to the outside."	
<http://purl.obolibrary.org/obo/WBbt_0004370>	"Sheath of PDE"	
<http://purl.obolibrary.org/obo/WBbt_0002338>	"nucleus of pedigree MSaappppp"	
<http://purl.obolibrary.org/obo/WBbt_0003603>	"nucleus of pedigree Z4.paaapapp"	
<http://purl.obolibrary.org/obo/WBbt_0005089>	"Ventral uterus; post-embryonic cell of pedigree Z1.ppapav (5R)."	
<http://purl.obolibrary.org/obo/WBbt_0001766>	"nucleus of pedigree B_alpha.rv"	
<http://purl.obolibrary.org/obo/WBbt_0004063>	"Neuron class of one male-specific interneuron, postsynaptic in ring and ventral cord."	
<http://purl.obolibrary.org/obo/WBbt_0004559>	"Embryonic coelomocytes"	
<http://purl.obolibrary.org/obo/WBbt_0003464>	"nucleus of pedigree Z4.aa"	
<http://purl.obolibrary.org/obo/WBbt_0005159>		
<http://purl.obolibrary.org/obo/WBbt_0002433>	"nucleus of pedigree MSpppppa"	
<http://purl.obolibrary.org/obo/WBbt_0003713>	"anterior section of pharyngeal corpus."	
<http://purl.obolibrary.org/obo/WBbt_0001689>	"nucleus of pedigree ABalpppppppp"	
<http://purl.obolibrary.org/obo/WBbt_0007556>		
<http://purl.obolibrary.org/obo/WBbt_0003377>	"nucleus of pedigree Z1.papapapp"	
<http://purl.obolibrary.org/obo/WBbt_0003729>		
<http://purl.obolibrary.org/obo/WBbt_0002451>	"nucleus of pedigree ABalpppaaap"	
<http://purl.obolibrary.org/obo/WBbt_0005664>	"Neuron class of two ciliated neurons that are part of the amphid sensilla; the endings are in the amphid channel, which is open to the outside."	
<http://purl.obolibrary.org/obo/WBbt_0005752>	"anatomical or cell objects that exist in only one, male or hermaphrodite, sex."	
<http://purl.obolibrary.org/obo/WBbt_0005970>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0007824>	"post-embryonic cell of the pedigree M.dlpa, in male animals."	
<http://purl.obolibrary.org/obo/WBbt_0002543>	"nucleus of pedigree P7.ppap"	
<http://purl.obolibrary.org/obo/WBbt_0007409>	"post-embryonic cell of pedigree V2L.ppp"	
